PM2.5,Death_rate
33.70833333,0.96
59.75,1.23
70.625,1.72
39.5,10
55.54166667,4.35
64.25,6.12
71.45833333,12.5
70.45833333,16.67
65.625,8.33
72.125,2.08
59.54166667,5.88
90.54166667,1.52
25.41666667,2.33
28.875,5.77
33.29166667,3.7
80.20833333,8.51
14.20833333,0.67
20.83333333,0.2
47.125,0.57
50.33333333,3.13
22.625,1.39
51.25,1.35
36.66666667,1.54
58.04166667,3.33
58.04166667,5.71
39.5,2.63
59,5.41
50.91666667,3.18
50.75,3.23
59.45833333,1.72
42.91666667,5.26
49.79166667,3.13
76.25,2.56
55.125,14.29
74.70833333,1.92
56.66666667,3.3
73.41666667,0.73
74.875,1.32
45.08333333,7.69
31.79166667,3.84
41.5,1.19
109.3333333,3.97
35.25,4.23
78,4.42
46.95833333,3.67
65.20833333,3.29
34.83333333,4.3
42,1.79
50.83333333,3.44
76.375,0.83
91.91666667,0.98
67.58333333,0.64
41.83333333,0.13
54.66666667,10
42.20833333,0.64
30.33333333,0.91
41.20833333,5
48.625,0.99
44.54166667,2.27
54.125,3.57
8.208333333,1.82
66.45833333,1.03
102.7916667,0.93
28.45833333,2.78
28.83333333,10
18.91666667,7.14
86.95833333,2.5
73.66666667,5.41
